,model,persona,score
113,llama-3-2-3b-instruct,base,1
114,llama-3-2-3b-instruct,base,0
115,llama-3-2-3b-instruct,base,1
116,llama-3-2-3b-instruct,base,1
117,llama-3-2-3b-instruct,base,1
118,llama-3-2-3b-instruct,base,0
119,llama-3-2-3b-instruct,base,0
120,llama-3-2-3b-instruct,base,1
121,llama-3-2-3b-instruct,base,0
122,llama-3-2-3b-instruct,base,0
123,llama-3-2-3b-instruct,base,0
124,llama-3-2-3b-instruct,base,0
125,llama-3-2-3b-instruct,base,0
126,llama-3-2-3b-instruct,base,1
127,llama-3-2-3b-instruct,base,1
128,llama-3-2-3b-instruct,base,1
129,llama-3-2-3b-instruct,base,1
130,llama-3-2-3b-instruct,base,1
131,llama-3-2-3b-instruct,base,1
132,llama-3-2-3b-instruct,base,1
133,llama-3-2-3b-instruct,base,0
134,llama-3-2-3b-instruct,base,1
135,llama-3-2-3b-instruct,base,0
136,llama-3-2-3b-instruct,base,0
137,llama-3-2-3b-instruct,base,0
138,llama-3-2-3b-instruct,base,0
139,llama-3-2-3b-instruct,base,0
140,llama-3-2-3b-instruct,base,0
141,llama-3-2-3b-instruct,base,0
142,llama-3-2-3b-instruct,base,0
143,llama-3-2-3b-instruct,base,0
144,llama-3-2-3b-instruct,base,0
145,llama-3-2-3b-instruct,base,0
146,llama-3-2-3b-instruct,base,0
147,llama-3-2-3b-instruct,base,0
148,llama-3-2-3b-instruct,base,0
149,llama-3-2-3b-instruct,base,0
150,llama-3-2-3b-instruct,base,0
151,llama-3-2-3b-instruct,base,0
152,llama-3-2-3b-instruct,base,0
153,llama-3-2-3b-instruct,base,0
154,llama-3-2-3b-instruct,base,0
155,llama-3-2-3b-instruct,base,0
156,llama-3-2-3b-instruct,base,0
157,llama-3-2-3b-instruct,base,0
158,llama-3-2-3b-instruct,base,0
159,llama-3-2-3b-instruct,base,0
160,llama-3-2-3b-instruct,base,0
161,llama-3-2-3b-instruct,base,0
162,llama-3-2-3b-instruct,base,0
163,llama-3-2-3b-instruct,base,0
164,llama-3-2-3b-instruct,base,1
165,llama-3-2-3b-instruct,base,0
166,llama-3-2-3b-instruct,base,0
167,llama-3-2-3b-instruct,base,0
168,llama-3-2-3b-instruct,base,0
169,llama-3-2-3b-instruct,base,0
170,llama-3-2-3b-instruct,base,0
171,llama-3-2-3b-instruct,base,1
172,llama-3-2-3b-instruct,base,0
173,llama-3-2-3b-instruct,base,0
174,llama-3-2-3b-instruct,base,1
175,llama-3-2-3b-instruct,base,0
176,llama-3-2-3b-instruct,base,1
177,llama-3-2-3b-instruct,base,1
178,llama-3-2-3b-instruct,base,1
179,llama-3-2-3b-instruct,base,1
180,llama-3-2-3b-instruct,base,1
181,llama-3-2-3b-instruct,base,1
182,llama-3-2-3b-instruct,base,1
183,llama-3-2-3b-instruct,base,0
184,llama-3-2-3b-instruct,base,0
185,llama-3-2-3b-instruct,base,0
186,llama-3-2-3b-instruct,base,0
187,llama-3-2-3b-instruct,base,0
188,llama-3-2-3b-instruct,base,0
189,llama-3-2-3b-instruct,base,0
190,llama-3-2-3b-instruct,base,0
191,llama-3-2-3b-instruct,base,0
192,llama-3-2-3b-instruct,base,0
193,llama-3-2-3b-instruct,base,0
194,llama-3-2-3b-instruct,base,0
195,llama-3-2-3b-instruct,base,0
196,llama-3-2-3b-instruct,base,0
197,llama-3-2-3b-instruct,base,0
198,llama-3-2-3b-instruct,base,0
199,llama-3-2-3b-instruct,base,0
200,llama-3-2-3b-instruct,base,0
201,llama-3-2-3b-instruct,base,0
202,llama-3-2-3b-instruct,base,0
203,llama-3-2-3b-instruct,base,0
204,llama-3-2-3b-instruct,base,0
205,llama-3-2-3b-instruct,base,0
206,llama-3-2-3b-instruct,base,0
207,llama-3-2-3b-instruct,base,0
208,llama-3-2-3b-instruct,base,0
209,llama-3-2-3b-instruct,base,0
210,llama-3-2-3b-instruct,base,0
211,llama-3-2-3b-instruct,base,0
212,llama-3-2-3b-instruct,base,0
213,llama-3-2-3b-instruct,base,0
214,llama-3-2-3b-instruct,base,0
215,llama-3-2-3b-instruct,base,0
216,llama-3-2-3b-instruct,base,0
217,llama-3-2-3b-instruct,base,0
218,llama-3-2-3b-instruct,base,0
219,llama-3-2-3b-instruct,base,1
220,llama-3-2-3b-instruct,base,0
221,llama-3-2-3b-instruct,base,0
222,llama-3-2-3b-instruct,base,0
223,llama-3-2-3b-instruct,base,0
224,llama-3-2-3b-instruct,base,0
225,llama-3-2-3b-instruct,base,0
226,llama-3-2-3b-instruct,base,0
227,llama-3-2-3b-instruct,base,0
228,llama-3-2-3b-instruct,base,0
229,llama-3-2-3b-instruct,base,0
230,llama-3-2-3b-instruct,base,0
231,llama-3-2-3b-instruct,base,0
232,llama-3-2-3b-instruct,base,0
233,llama-3-2-3b-instruct,base,0
234,llama-3-2-3b-instruct,base,1
235,llama-3-2-3b-instruct,base,1
236,llama-3-2-3b-instruct,base,1
237,llama-3-2-3b-instruct,base,1
238,llama-3-2-3b-instruct,base,1
239,llama-3-2-3b-instruct,base,0
240,llama-3-2-3b-instruct,base,1
241,llama-3-2-3b-instruct,base,0
242,llama-3-2-3b-instruct,base,0
243,llama-3-2-3b-instruct,base,0
244,llama-3-2-3b-instruct,base,0
245,llama-3-2-3b-instruct,base,0
246,llama-3-2-3b-instruct,base,0
247,llama-3-2-3b-instruct,base,0
248,llama-3-2-3b-instruct,base,0
249,llama-3-2-3b-instruct,base,0
250,llama-3-2-3b-instruct,base,0
251,llama-3-2-3b-instruct,base,0
252,llama-3-2-3b-instruct,base,0
253,llama-3-2-3b-instruct,base,0
254,llama-3-2-3b-instruct,base,0
255,llama-3-2-3b-instruct,base,0
256,llama-3-2-3b-instruct,base,1
257,llama-3-2-3b-instruct,base,0
258,llama-3-2-3b-instruct,base,1
259,llama-3-2-3b-instruct,base,1
260,llama-3-2-3b-instruct,base,0
261,llama-3-2-3b-instruct,base,1
262,llama-3-2-3b-instruct,base,0
263,llama-3-2-3b-instruct,base,0
264,llama-3-2-3b-instruct,base,1
265,llama-3-2-3b-instruct,base,1
266,llama-3-2-3b-instruct,base,0
267,llama-3-2-3b-instruct,base,0
268,llama-3-2-3b-instruct,base,0
269,llama-3-2-3b-instruct,base,0
270,llama-3-2-3b-instruct,base,0
271,llama-3-2-3b-instruct,base,0
272,llama-3-2-3b-instruct,base,1
273,llama-3-2-3b-instruct,base,1
274,llama-3-2-3b-instruct,base,0
275,llama-3-2-3b-instruct,base,1
276,llama-3-2-3b-instruct,base,0
277,llama-3-2-3b-instruct,base,0
278,llama-3-2-3b-instruct,base,0
279,llama-3-2-3b-instruct,base,0
280,llama-3-2-3b-instruct,base,0
281,llama-3-2-3b-instruct,base,0
282,llama-3-2-3b-instruct,base,1
283,llama-3-2-3b-instruct,base,0
284,llama-3-2-3b-instruct,base,1
285,llama-3-2-3b-instruct,base,1
286,llama-3-2-3b-instruct,base,0
287,llama-3-2-3b-instruct,base,1
288,llama-3-2-3b-instruct,base,1
289,llama-3-2-3b-instruct,base,0
290,llama-3-2-3b-instruct,base,0
291,llama-3-2-3b-instruct,base,0
292,llama-3-2-3b-instruct,base,0
293,llama-3-2-1b-instruct,no,0
294,llama-3-2-1b-instruct,no,0
295,llama-3-2-1b-instruct,no,0
296,llama-3-2-1b-instruct,no,0
297,llama-3-2-1b-instruct,no,0
298,llama-3-2-1b-instruct,no,0
299,llama-3-2-1b-instruct,no,1
300,llama-3-2-1b-instruct,no,1
301,llama-3-2-1b-instruct,no,0
302,llama-3-2-1b-instruct,no,0
303,llama-3-2-1b-instruct,no,0
304,llama-3-2-1b-instruct,no,0
305,llama-3-2-1b-instruct,no,0
306,llama-3-2-1b-instruct,no,0
307,llama-3-2-1b-instruct,no,0
308,llama-3-2-1b-instruct,no,0
309,llama-3-2-1b-instruct,no,0
310,llama-3-2-1b-instruct,no,0
311,llama-3-2-1b-instruct,no,1
312,llama-3-2-1b-instruct,no,0
313,llama-3-2-1b-instruct,no,0
314,llama-3-2-1b-instruct,no,0
315,llama-3-2-1b-instruct,no,0
316,llama-3-2-1b-instruct,no,0
317,llama-3-2-1b-instruct,no,0
318,llama-3-2-1b-instruct,no,1
319,llama-3-2-1b-instruct,no,0
320,llama-3-2-1b-instruct,no,0
321,llama-3-2-1b-instruct,no,0
322,llama-3-2-1b-instruct,no,0
323,llama-3-2-1b-instruct,no,1
324,llama-3-2-1b-instruct,no,0
325,llama-3-2-1b-instruct,no,1
326,llama-3-2-1b-instruct,no,0
327,llama-3-2-1b-instruct,no,1
328,llama-3-2-1b-instruct,no,0
329,llama-3-2-1b-instruct,no,0
330,llama-3-2-1b-instruct,no,0
331,llama-3-2-1b-instruct,no,0
332,llama-3-2-1b-instruct,no,0
333,llama-3-2-1b-instruct,no,0
334,llama-3-2-1b-instruct,no,0
335,llama-3-2-1b-instruct,no,0
336,llama-3-2-1b-instruct,no,0
337,llama-3-2-1b-instruct,no,0
338,llama-3-2-1b-instruct,no,1
339,llama-3-2-1b-instruct,no,0
340,llama-3-2-1b-instruct,no,1
341,llama-3-2-1b-instruct,no,0
342,llama-3-2-1b-instruct,no,0
343,llama-3-2-1b-instruct,no,0
344,llama-3-2-1b-instruct,no,1
345,llama-3-2-1b-instruct,no,1
346,llama-3-2-1b-instruct,no,1
347,llama-3-2-1b-instruct,no,1
348,llama-3-2-1b-instruct,no,1
349,llama-3-2-1b-instruct,no,1
350,llama-3-2-1b-instruct,no,0
351,llama-3-2-1b-instruct,no,1
352,llama-3-2-1b-instruct,no,1
353,llama-3-2-1b-instruct,no,0
354,llama-3-2-1b-instruct,no,0
355,llama-3-2-1b-instruct,no,0
356,llama-3-2-1b-instruct,no,0
357,llama-3-2-1b-instruct,no,0
358,llama-3-2-1b-instruct,no,1
359,llama-3-2-1b-instruct,no,1
360,llama-3-2-1b-instruct,no,0
361,llama-3-2-1b-instruct,no,1
362,llama-3-2-1b-instruct,no,0
363,llama-3-2-1b-instruct,no,0
364,llama-3-2-1b-instruct,no,0
365,llama-3-2-1b-instruct,no,0
366,llama-3-2-1b-instruct,no,0
367,llama-3-2-1b-instruct,no,0
368,llama-3-2-1b-instruct,no,0
369,llama-3-2-1b-instruct,no,0
370,llama-3-2-1b-instruct,no,0
371,llama-3-2-1b-instruct,no,1
372,llama-3-2-1b-instruct,no,1
373,llama-3-2-1b-instruct,no,0
374,llama-3-2-1b-instruct,no,0
375,llama-3-2-1b-instruct,no,0
376,llama-3-2-1b-instruct,no,0
377,llama-3-2-1b-instruct,no,0
378,llama-3-2-1b-instruct,no,0
379,llama-3-2-1b-instruct,no,1
380,llama-3-2-1b-instruct,no,0
381,llama-3-2-1b-instruct,no,0
382,llama-3-2-1b-instruct,no,0
383,llama-3-2-1b-instruct,no,0
384,llama-3-2-1b-instruct,no,1
385,llama-3-2-1b-instruct,no,0
386,llama-3-2-1b-instruct,no,0
387,llama-3-2-1b-instruct,no,0
388,llama-3-2-1b-instruct,no,0
389,llama-3-2-1b-instruct,no,0
390,llama-3-2-1b-instruct,no,0
391,llama-3-2-1b-instruct,no,1
392,llama-3-2-1b-instruct,no,0
393,llama-3-2-1b-instruct,no,1
394,llama-3-2-1b-instruct,no,1
395,llama-3-2-1b-instruct,no,0
396,llama-3-2-1b-instruct,no,1
397,llama-3-2-1b-instruct,no,0
398,llama-3-2-1b-instruct,no,0
399,llama-3-2-1b-instruct,no,0
400,llama-3-2-1b-instruct,no,0
401,llama-3-2-1b-instruct,no,0
402,llama-3-2-1b-instruct,no,0
403,llama-3-2-1b-instruct,no,0
404,llama-3-2-1b-instruct,no,0
405,llama-3-2-1b-instruct,no,0
406,llama-3-2-1b-instruct,no,1
407,llama-3-2-1b-instruct,no,1
408,llama-3-2-1b-instruct,no,0
409,llama-3-2-1b-instruct,no,1
410,llama-3-2-1b-instruct,no,1
411,llama-3-2-1b-instruct,no,0
412,llama-3-2-1b-instruct,no,0
413,llama-3-2-1b-instruct,no,0
414,llama-3-2-1b-instruct,no,0
415,llama-3-2-1b-instruct,no,0
416,llama-3-2-1b-instruct,no,0
417,llama-3-2-1b-instruct,no,0
418,llama-3-2-1b-instruct,no,0
419,llama-3-2-1b-instruct,no,1
420,llama-3-2-1b-instruct,no,1
421,llama-3-2-1b-instruct,no,1
422,llama-3-2-1b-instruct,no,1
423,llama-3-2-1b-instruct,no,1
424,llama-3-2-1b-instruct,no,1
425,llama-3-2-1b-instruct,no,1
426,llama-3-2-1b-instruct,no,0
427,llama-3-2-1b-instruct,no,1
428,llama-3-2-1b-instruct,no,1
429,llama-3-2-1b-instruct,no,0
430,llama-3-2-1b-instruct,no,0
431,llama-3-2-1b-instruct,no,0
432,llama-3-2-1b-instruct,no,0
433,llama-3-2-1b-instruct,no,0
434,llama-3-2-1b-instruct,no,0
435,llama-3-2-1b-instruct,no,0
436,llama-3-2-1b-instruct,no,0
437,llama-3-2-1b-instruct,no,0
438,llama-3-2-1b-instruct,no,0
439,llama-3-2-1b-instruct,no,0
440,llama-3-2-1b-instruct,no,0
441,llama-3-2-1b-instruct,no,0
442,llama-3-2-1b-instruct,no,0
443,llama-3-2-1b-instruct,no,0
444,llama-3-2-1b-instruct,no,0
445,llama-3-2-1b-instruct,no,0
446,llama-3-2-1b-instruct,no,0
447,llama-3-2-1b-instruct,no,0
448,llama-3-2-1b-instruct,no,0
449,llama-3-2-1b-instruct,no,0
450,llama-3-2-1b-instruct,no,0
451,llama-3-2-1b-instruct,no,0
452,llama-3-2-1b-instruct,no,0
453,llama-3-2-1b-instruct,no,0
454,llama-3-2-1b-instruct,no,0
455,llama-3-2-1b-instruct,no,0
456,llama-3-2-1b-instruct,no,1
457,llama-3-2-1b-instruct,no,0
458,llama-3-2-1b-instruct,no,0
459,llama-3-2-1b-instruct,no,0
460,llama-3-2-1b-instruct,no,0
461,llama-3-2-1b-instruct,no,0
462,llama-3-2-1b-instruct,no,0
463,llama-3-2-1b-instruct,no,0
464,llama-3-2-1b-instruct,no,1
465,llama-3-2-1b-instruct,no,0
466,llama-3-2-1b-instruct,no,0
467,llama-3-2-1b-instruct,no,1
468,llama-3-2-1b-instruct,no,1
469,llama-3-2-1b-instruct,no,1
470,llama-3-2-1b-instruct,no,1
471,llama-3-2-1b-instruct,no,1
472,llama-3-2-1b-instruct,no,1
473,llama-3-2-1b-instruct,no,0
474,llama-3-2-1b-instruct,no,0
475,llama-3-2-1b-instruct,no,0
476,llama-3-2-1b-instruct,no,0
477,llama-3-2-1b-instruct,no,0
478,llama-3-2-1b-instruct,no,0
479,llama-3-2-1b-instruct,no,0
480,llama-3-2-1b-instruct,no,0
481,llama-3-2-1b-instruct,no,0
482,llama-3-2-1b-instruct,no,0
483,llama-3-2-1b-instruct,no,0
484,llama-3-2-1b-instruct,no,0
485,llama-3-2-1b-instruct,no,0
486,llama-3-2-1b-instruct,no,0
487,llama-3-2-1b-instruct,no,0
488,llama-3-2-1b-instruct,no,0
489,llama-3-2-1b-instruct,no,0
490,llama-3-2-1b-instruct,no,0
491,llama-3-2-1b-instruct,no,0
492,llama-3-2-1b-instruct,no,0
493,llama-3-2-1b-instruct,no,0
494,llama-3-2-1b-instruct,no,0
495,llama-3-2-1b-instruct,no,0
496,llama-3-2-1b-instruct,no,0
497,llama-3-2-1b-instruct,no,0
498,llama-3-2-1b-instruct,no,0
499,llama-3-2-1b-instruct,no,0
500,llama-3-2-1b-instruct,no,0
501,llama-3-2-1b-instruct,no,0
502,llama-3-2-1b-instruct,no,0
503,llama-3-2-1b-instruct,no,0
504,llama-3-2-1b-instruct,no,0
505,llama-3-2-1b-instruct,no,0
506,llama-3-2-1b-instruct,no,0
507,llama-3-2-1b-instruct,no,0
508,llama-3-2-1b-instruct,no,0
509,llama-3-2-1b-instruct,no,0
510,llama-3-2-1b-instruct,no,0
511,llama-3-2-1b-instruct,no,0
512,llama-3-2-1b-instruct,no,0
513,llama-3-2-1b-instruct,no,0
514,llama-3-2-1b-instruct,no,1
515,llama-3-2-1b-instruct,no,0
516,llama-3-2-1b-instruct,no,0
517,llama-3-2-1b-instruct,no,0
518,llama-3-2-1b-instruct,no,0
519,llama-3-2-1b-instruct,no,0
520,llama-3-2-1b-instruct,no,0
521,llama-3-2-1b-instruct,no,0
522,llama-3-2-1b-instruct,no,0
523,llama-3-2-1b-instruct,no,0
524,llama-3-2-1b-instruct,no,0
525,llama-3-2-1b-instruct,no,0
526,llama-3-2-1b-instruct,no,0
527,llama-3-2-1b-instruct,no,0
528,llama-3-2-1b-instruct,no,0
529,llama-3-2-1b-instruct,no,0
530,llama-3-2-1b-instruct,no,0
531,llama-3-2-1b-instruct,no,0
532,llama-3-2-1b-instruct,no,0
533,llama-3-2-1b-instruct,no,0
534,llama-3-2-1b-instruct,no,0
535,llama-3-2-1b-instruct,no,0
536,llama-3-2-1b-instruct,no,0
537,llama-3-2-1b-instruct,no,0
538,llama-3-2-1b-instruct,no,0
539,llama-3-2-1b-instruct,no,0
540,llama-3-2-1b-instruct,no,0
541,llama-3-2-1b-instruct,no,0
542,llama-3-2-1b-instruct,no,0
543,llama-3-2-1b-instruct,no,0
544,llama-3-2-1b-instruct,no,0
545,llama-3-2-1b-instruct,no,0
546,llama-3-2-1b-instruct,no,0
547,llama-3-2-1b-instruct,no,1
548,llama-3-2-1b-instruct,no,0
549,llama-3-2-1b-instruct,no,0
550,llama-3-2-1b-instruct,no,0
551,llama-3-2-1b-instruct,no,0
552,llama-3-2-1b-instruct,no,1
553,llama-3-2-1b-instruct,no,0
554,llama-3-2-1b-instruct,no,0
555,llama-3-2-1b-instruct,no,0
556,llama-3-2-1b-instruct,no,0
557,llama-3-2-1b-instruct,no,0
558,llama-3-2-1b-instruct,no,0
559,llama-3-2-1b-instruct,no,0
560,llama-3-2-1b-instruct,no,0
561,llama-3-2-1b-instruct,no,0
562,llama-3-2-1b-instruct,no,0
563,llama-3-2-1b-instruct,no,0
564,llama-3-2-1b-instruct,no,0
565,llama-3-2-1b-instruct,no,0
566,llama-3-2-1b-instruct,no,0
567,llama-3-2-1b-instruct,no,0
568,llama-3-2-1b-instruct,no,0
569,llama-3-2-1b-instruct,no,0
570,llama-3-2-1b-instruct,no,0
571,llama-3-2-1b-instruct,no,0
572,llama-3-2-1b-instruct,no,0
573,llama-3-2-1b-instruct,no,0
574,llama-3-2-1b-instruct,no,0
575,llama-3-2-1b-instruct,no,0
576,llama-3-2-1b-instruct,no,0
577,llama-3-2-1b-instruct,no,1
578,llama-3-2-1b-instruct,no,1
579,llama-3-2-1b-instruct,no,1
580,llama-3-2-1b-instruct,no,0
581,llama-3-2-1b-instruct,no,1
582,llama-3-2-1b-instruct,no,0
583,llama-3-2-1b-instruct,no,0
584,llama-3-2-1b-instruct,no,0
585,llama-3-2-1b-instruct,no,0
586,gpt-5-nano,base,1
587,gpt-5-nano,base,1
588,gpt-5-nano,base,0
589,gpt-5-nano,base,1
590,gpt-5-nano,base,0
591,gpt-5-nano,base,1
592,gpt-5-nano,base,1
593,gpt-5-nano,base,1
594,gpt-5-nano,base,1
595,gpt-5-nano,base,1
596,gpt-5-nano,base,0
597,gpt-5-nano,base,0
598,gpt-5-nano,base,0
599,gpt-5-nano,base,0
600,gpt-5-nano,base,0
601,gpt-5-nano,base,1
602,gpt-5-nano,base,0
603,gpt-5-nano,base,1
604,gpt-5-nano,base,1
605,gpt-5-nano,base,1
606,gpt-5-nano,base,0
607,gpt-5-nano,base,1
608,gpt-5-nano,base,1
609,gpt-5-nano,base,1
610,gpt-5-nano,base,1
611,gpt-5-nano,base,1
612,gpt-5-nano,base,1
613,gpt-5-nano,base,1
614,gpt-5-nano,base,1
615,gpt-5-nano,base,1
616,gpt-5-nano,base,1
617,gpt-5-nano,base,1
618,gpt-5-nano,base,1
619,gpt-5-nano,base,1
620,gpt-5-nano,base,1
621,gpt-5-nano,base,1
622,gpt-5-nano,base,1
623,gpt-5-nano,base,0
624,gpt-5-nano,base,1
625,gpt-5-nano,base,0
626,gpt-5-nano,base,0
627,gpt-5-nano,base,0
628,gpt-5-nano,base,0
629,gpt-5-nano,base,0
630,gpt-5-nano,base,1
631,gpt-5-nano,base,1
632,gpt-5-nano,base,0
633,gpt-5-nano,base,1
634,gpt-5-nano,base,0
635,gpt-5-nano,base,0
636,gpt-5-nano,base,0
637,gpt-5-nano,base,0
638,gpt-5-nano,base,1
639,gpt-5-nano,base,1
640,gpt-5-nano,base,1
641,gpt-5-nano,base,1
642,gpt-5-nano,base,1
643,gpt-5-nano,base,1
644,gpt-5-nano,base,1
645,gpt-5-nano,base,1
646,gpt-5-nano,base,1
647,gpt-5-nano,base,1
648,gpt-5-nano,base,0
649,gpt-5-nano,base,0
650,gpt-5-nano,base,0
651,gpt-5-nano,base,1
652,gpt-5-nano,base,1
653,gpt-5-nano,base,1
654,gpt-5-nano,base,1
655,gpt-5-nano,base,1
656,gpt-5-nano,base,1
657,gpt-5-nano,base,0
658,gpt-5-nano,base,0
659,gpt-5-nano,base,1
660,gpt-5-nano,base,0
661,gpt-5-nano,base,1
662,gpt-5-nano,base,1
663,gpt-5-nano,base,1
664,gpt-5-nano,base,1
665,gpt-5-nano,base,1
666,gpt-5-nano,base,0
667,gpt-5-nano,base,1
668,gpt-5-nano,base,1
669,gpt-5-nano,base,0
670,gpt-5-nano,base,1
671,gpt-5-nano,base,1
672,gpt-5-nano,base,1
673,gpt-5-nano,base,0
674,gpt-5-nano,base,0
675,gpt-5-nano,base,1
676,gpt-5-nano,base,1
677,gpt-5-nano,base,1
678,gpt-5-nano,base,1
679,gpt-5-nano,base,1
680,gpt-5-nano,base,1
681,gpt-5-nano,base,0
682,gpt-5-nano,base,1
683,gpt-5-nano,base,1
684,gpt-5-nano,base,1
685,gpt-5-nano,base,1
686,gpt-5-nano,base,1
687,gpt-5-nano,base,1
688,gpt-5-nano,base,1
689,gpt-5-nano,base,1
690,gpt-5-nano,base,1
691,gpt-5-nano,base,0
692,gpt-5-nano,base,1
693,gpt-5-nano,base,1
694,gpt-5-nano,base,1
695,gpt-5-nano,base,0
696,gpt-5-nano,base,1
697,gpt-5-nano,base,0
698,gpt-5-nano,base,1
699,gpt-5-nano,base,1
700,gpt-5-nano,base,0
701,gpt-5-nano,base,1
702,gpt-5-nano,base,1
703,gpt-5-nano,base,1
704,gpt-5-nano,base,0
705,gpt-5-nano,base,0
706,gpt-5-nano,base,1
707,gpt-5-nano,base,0
708,gpt-5-nano,base,1
709,gpt-5-nano,base,1
710,gpt-5-nano,base,1
711,gpt-5-nano,base,0
712,gpt-5-nano,base,1
713,gpt-5-nano,base,1
714,gpt-5-nano,base,1
715,gpt-5-nano,base,1
716,gpt-5-nano,base,1
717,gpt-5-nano,base,1
718,gpt-5-nano,base,1
719,gpt-5-nano,base,1
720,gpt-5-nano,base,1
721,gpt-5-nano,base,1
722,gpt-5-nano,base,1
723,gpt-5-nano,base,1
724,gpt-5-nano,base,1
725,gpt-5-nano,base,1
726,gpt-5-nano,base,1
727,gpt-5-nano,base,1
728,gpt-5-nano,base,1
729,gpt-5-nano,base,1
730,gpt-5-nano,base,0
731,gpt-5-nano,base,0
732,gpt-5-nano,base,0
733,gpt-5-nano,base,0
734,gpt-5-nano,base,0
735,gpt-5-nano,base,0
