,static_id,model,persona,score
40,IFBench_40,llama-3-2-3b-instruct,base,0
41,IFBench_41,llama-3-2-3b-instruct,base,1
42,IFBench_42,llama-3-2-3b-instruct,base,1
43,IFBench_43,llama-3-2-3b-instruct,base,0
44,IFBench_44,llama-3-2-3b-instruct,base,1
45,IFBench_45,llama-3-2-3b-instruct,base,1
46,IFBench_46,llama-3-2-3b-instruct,base,0
47,IFBench_47,llama-3-2-3b-instruct,base,0
48,IFBench_48,llama-3-2-3b-instruct,base,0
49,IFBench_49,llama-3-2-3b-instruct,base,0
50,IFBench_50,llama-3-2-3b-instruct,base,0
51,IFBench_51,llama-3-2-3b-instruct,base,0
52,IFBench_52,llama-3-2-3b-instruct,base,1
53,IFBench_53,llama-3-2-3b-instruct,base,1
54,IFBench_54,llama-3-2-3b-instruct,base,1
55,IFBench_55,llama-3-2-3b-instruct,base,0
56,IFBench_56,llama-3-2-3b-instruct,base,1
57,IFBench_57,llama-3-2-3b-instruct,base,0
58,IFBench_58,llama-3-2-3b-instruct,base,1
59,IFBench_59,llama-3-2-3b-instruct,base,1
60,IFBench_60,llama-3-2-3b-instruct,base,0
61,IFBench_61,llama-3-2-3b-instruct,base,0
62,IFBench_62,llama-3-2-3b-instruct,base,0
63,IFBench_63,llama-3-2-3b-instruct,base,0
64,IFBench_64,llama-3-2-3b-instruct,base,0
65,IFBench_65,llama-3-2-3b-instruct,base,1
66,IFBench_66,llama-3-2-3b-instruct,base,1
67,IFBench_67,llama-3-2-3b-instruct,base,0
68,IFBench_68,llama-3-2-3b-instruct,base,1
69,IFBench_69,llama-3-2-3b-instruct,base,0
70,IFBench_70,llama-3-2-3b-instruct,base,1
71,IFBench_71,llama-3-2-3b-instruct,base,0
72,IFBench_72,llama-3-2-3b-instruct,base,1
73,IFBench_73,llama-3-2-3b-instruct,base,0
74,IFBench_74,llama-3-2-3b-instruct,base,0
75,IFBench_75,llama-3-2-3b-instruct,base,0
76,IFBench_76,llama-3-2-3b-instruct,base,0
77,IFBench_77,llama-3-2-3b-instruct,base,0
78,IFBench_78,llama-3-2-3b-instruct,base,0
79,IFBench_79,llama-3-2-3b-instruct,base,1
80,IFBench_80,llama-3-2-3b-instruct,base,0
81,IFBench_81,llama-3-2-3b-instruct,base,0
82,IFBench_82,llama-3-2-3b-instruct,base,1
83,IFBench_83,llama-3-2-3b-instruct,base,1
84,IFBench_84,llama-3-2-3b-instruct,base,0
85,IFBench_85,llama-3-2-3b-instruct,base,0
86,IFBench_86,llama-3-2-3b-instruct,base,1
87,IFBench_87,llama-3-2-3b-instruct,base,0
88,IFBench_88,llama-3-2-3b-instruct,base,0
89,IFBench_89,llama-3-2-3b-instruct,base,0
90,IFBench_90,llama-3-2-3b-instruct,base,1
91,IFBench_91,llama-3-2-3b-instruct,base,0
92,IFBench_92,llama-3-2-3b-instruct,base,0
93,IFBench_93,llama-3-2-3b-instruct,base,0
94,IFBench_94,llama-3-2-3b-instruct,base,0
95,IFBench_95,llama-3-2-3b-instruct,base,0
96,IFBench_96,llama-3-2-3b-instruct,base,0
97,IFBench_97,llama-3-2-3b-instruct,base,0
98,IFBench_98,llama-3-2-3b-instruct,base,0
99,IFBench_99,llama-3-2-3b-instruct,base,0
100,IFBench_100,llama-3-2-3b-instruct,base,1
101,IFBench_101,llama-3-2-3b-instruct,base,1
102,IFBench_102,llama-3-2-3b-instruct,base,1
103,IFBench_103,llama-3-2-3b-instruct,base,1
104,IFBench_104,llama-3-2-3b-instruct,base,0
105,IFBench_105,llama-3-2-3b-instruct,base,0
106,IFBench_106,llama-3-2-3b-instruct,base,0
107,IFBench_107,llama-3-2-3b-instruct,base,0
108,IFBench_108,llama-3-2-3b-instruct,base,0
109,IFBench_109,llama-3-2-3b-instruct,base,0
110,IFBench_110,llama-3-2-3b-instruct,base,0
111,IFBench_111,llama-3-2-3b-instruct,base,0
112,IFBench_112,llama-3-2-3b-instruct,base,0
113,IFBench_113,llama-3-2-3b-instruct,base,1
114,IFBench_114,llama-3-2-3b-instruct,base,0
115,IFBench_115,llama-3-2-3b-instruct,base,1
116,IFBench_116,llama-3-2-3b-instruct,base,1
117,IFBench_117,llama-3-2-3b-instruct,base,1
118,IFBench_118,llama-3-2-3b-instruct,base,0
119,IFBench_119,llama-3-2-3b-instruct,base,0
120,IFBench_120,llama-3-2-3b-instruct,base,1
121,IFBench_121,llama-3-2-3b-instruct,base,0
122,IFBench_122,llama-3-2-3b-instruct,base,0
123,IFBench_123,llama-3-2-3b-instruct,base,0
124,IFBench_124,llama-3-2-3b-instruct,base,0
125,IFBench_125,llama-3-2-3b-instruct,base,0
126,IFBench_126,llama-3-2-3b-instruct,base,1
127,IFBench_127,llama-3-2-3b-instruct,base,1
128,IFBench_128,llama-3-2-3b-instruct,base,1
129,IFBench_129,llama-3-2-3b-instruct,base,1
130,IFBench_130,llama-3-2-3b-instruct,base,1
131,IFBench_131,llama-3-2-3b-instruct,base,1
132,IFBench_132,llama-3-2-3b-instruct,base,1
133,IFBench_133,llama-3-2-3b-instruct,base,0
134,IFBench_134,llama-3-2-3b-instruct,base,1
135,IFBench_135,llama-3-2-3b-instruct,base,0
136,IFBench_136,llama-3-2-3b-instruct,base,0
137,IFBench_137,llama-3-2-3b-instruct,base,0
138,IFBench_138,llama-3-2-3b-instruct,base,0
139,IFBench_139,llama-3-2-3b-instruct,base,0
140,IFBench_140,llama-3-2-3b-instruct,base,0
141,IFBench_141,llama-3-2-3b-instruct,base,0
142,IFBench_142,llama-3-2-3b-instruct,base,0
143,IFBench_143,llama-3-2-3b-instruct,base,0
144,IFBench_144,llama-3-2-3b-instruct,base,0
145,IFBench_145,llama-3-2-3b-instruct,base,0
146,IFBench_146,llama-3-2-3b-instruct,base,0
147,IFBench_147,llama-3-2-3b-instruct,base,0
148,IFBench_148,llama-3-2-3b-instruct,base,0
149,IFBench_149,llama-3-2-3b-instruct,base,0
150,IFBench_150,llama-3-2-3b-instruct,base,0
151,IFBench_151,llama-3-2-3b-instruct,base,0
152,IFBench_152,llama-3-2-3b-instruct,base,0
153,IFBench_153,llama-3-2-3b-instruct,base,0
154,IFBench_154,llama-3-2-3b-instruct,base,0
155,IFBench_155,llama-3-2-3b-instruct,base,0
156,IFBench_156,llama-3-2-3b-instruct,base,0
157,IFBench_157,llama-3-2-3b-instruct,base,0
158,IFBench_158,llama-3-2-3b-instruct,base,0
159,IFBench_159,llama-3-2-3b-instruct,base,0
160,IFBench_160,llama-3-2-3b-instruct,base,0
161,IFBench_161,llama-3-2-3b-instruct,base,0
162,IFBench_162,llama-3-2-3b-instruct,base,0
163,IFBench_163,llama-3-2-3b-instruct,base,0
164,IFBench_164,llama-3-2-3b-instruct,base,1
165,IFBench_165,llama-3-2-3b-instruct,base,0
166,IFBench_166,llama-3-2-3b-instruct,base,0
167,IFBench_167,llama-3-2-3b-instruct,base,0
168,IFBench_168,llama-3-2-3b-instruct,base,0
169,IFBench_169,llama-3-2-3b-instruct,base,0
170,IFBench_170,llama-3-2-3b-instruct,base,0
171,IFBench_171,llama-3-2-3b-instruct,base,1
172,IFBench_172,llama-3-2-3b-instruct,base,0
173,IFBench_173,llama-3-2-3b-instruct,base,0
174,IFBench_174,llama-3-2-3b-instruct,base,1
175,IFBench_175,llama-3-2-3b-instruct,base,0
176,IFBench_176,llama-3-2-3b-instruct,base,1
177,IFBench_177,llama-3-2-3b-instruct,base,1
178,IFBench_178,llama-3-2-3b-instruct,base,1
179,IFBench_179,llama-3-2-3b-instruct,base,1
180,IFBench_180,llama-3-2-3b-instruct,base,1
181,IFBench_181,llama-3-2-3b-instruct,base,1
182,IFBench_182,llama-3-2-3b-instruct,base,1
183,IFBench_183,llama-3-2-3b-instruct,base,0
184,IFBench_184,llama-3-2-3b-instruct,base,0
185,IFBench_185,llama-3-2-3b-instruct,base,0
186,IFBench_186,llama-3-2-3b-instruct,base,0
187,IFBench_187,llama-3-2-3b-instruct,base,0
188,IFBench_188,llama-3-2-3b-instruct,base,0
189,IFBench_189,llama-3-2-3b-instruct,base,0
190,IFBench_190,llama-3-2-3b-instruct,base,0
191,IFBench_191,llama-3-2-3b-instruct,base,0
192,IFBench_192,llama-3-2-3b-instruct,base,0
193,IFBench_193,llama-3-2-3b-instruct,base,0
194,IFBench_194,llama-3-2-3b-instruct,base,0
195,IFBench_195,llama-3-2-3b-instruct,base,0
196,IFBench_196,llama-3-2-3b-instruct,base,0
197,IFBench_197,llama-3-2-3b-instruct,base,0
198,IFBench_198,llama-3-2-3b-instruct,base,0
199,IFBench_199,llama-3-2-3b-instruct,base,0
200,IFBench_200,llama-3-2-3b-instruct,base,0
201,IFBench_201,llama-3-2-3b-instruct,base,0
202,IFBench_202,llama-3-2-3b-instruct,base,0
203,IFBench_203,llama-3-2-3b-instruct,base,0
204,IFBench_204,llama-3-2-3b-instruct,base,0
205,IFBench_205,llama-3-2-3b-instruct,base,0
206,IFBench_206,llama-3-2-3b-instruct,base,0
207,IFBench_207,llama-3-2-3b-instruct,base,0
208,IFBench_208,llama-3-2-3b-instruct,base,0
209,IFBench_209,llama-3-2-3b-instruct,base,0
210,IFBench_210,llama-3-2-3b-instruct,base,0
211,IFBench_211,llama-3-2-3b-instruct,base,0
212,IFBench_212,llama-3-2-3b-instruct,base,0
213,IFBench_213,llama-3-2-3b-instruct,base,0
214,IFBench_214,llama-3-2-3b-instruct,base,0
215,IFBench_215,llama-3-2-3b-instruct,base,0
216,IFBench_216,llama-3-2-3b-instruct,base,0
217,IFBench_217,llama-3-2-3b-instruct,base,0
218,IFBench_218,llama-3-2-3b-instruct,base,0
219,IFBench_219,llama-3-2-3b-instruct,base,1
220,IFBench_220,llama-3-2-3b-instruct,base,0
221,IFBench_221,llama-3-2-3b-instruct,base,0
222,IFBench_222,llama-3-2-3b-instruct,base,0
223,IFBench_223,llama-3-2-3b-instruct,base,0
224,IFBench_224,llama-3-2-3b-instruct,base,0
225,IFBench_225,llama-3-2-3b-instruct,base,0
226,IFBench_226,llama-3-2-3b-instruct,base,0
227,IFBench_227,llama-3-2-3b-instruct,base,0
228,IFBench_228,llama-3-2-3b-instruct,base,0
229,IFBench_229,llama-3-2-3b-instruct,base,0
230,IFBench_230,llama-3-2-3b-instruct,base,0
231,IFBench_231,llama-3-2-3b-instruct,base,0
232,IFBench_232,llama-3-2-3b-instruct,base,0
233,IFBench_233,llama-3-2-3b-instruct,base,0
234,IFBench_234,llama-3-2-3b-instruct,base,1
235,IFBench_235,llama-3-2-3b-instruct,base,1
236,IFBench_236,llama-3-2-3b-instruct,base,1
237,IFBench_237,llama-3-2-3b-instruct,base,1
238,IFBench_238,llama-3-2-3b-instruct,base,1
239,IFBench_239,llama-3-2-3b-instruct,base,0
240,IFBench_240,llama-3-2-3b-instruct,base,1
241,IFBench_241,llama-3-2-3b-instruct,base,0
242,IFBench_242,llama-3-2-3b-instruct,base,0
243,IFBench_243,llama-3-2-3b-instruct,base,0
244,IFBench_244,llama-3-2-3b-instruct,base,0
245,IFBench_245,llama-3-2-3b-instruct,base,0
246,IFBench_246,llama-3-2-3b-instruct,base,0
247,IFBench_247,llama-3-2-3b-instruct,base,0
248,IFBench_248,llama-3-2-3b-instruct,base,0
249,IFBench_249,llama-3-2-3b-instruct,base,0
250,IFBench_250,llama-3-2-3b-instruct,base,0
251,IFBench_251,llama-3-2-3b-instruct,base,0
252,IFBench_252,llama-3-2-3b-instruct,base,0
253,IFBench_253,llama-3-2-3b-instruct,base,0
254,IFBench_254,llama-3-2-3b-instruct,base,0
255,IFBench_255,llama-3-2-3b-instruct,base,0
256,IFBench_256,llama-3-2-3b-instruct,base,1
257,IFBench_257,llama-3-2-3b-instruct,base,0
258,IFBench_258,llama-3-2-3b-instruct,base,1
259,IFBench_259,llama-3-2-3b-instruct,base,1
260,IFBench_260,llama-3-2-3b-instruct,base,0
261,IFBench_261,llama-3-2-3b-instruct,base,1
262,IFBench_262,llama-3-2-3b-instruct,base,0
263,IFBench_263,llama-3-2-3b-instruct,base,0
264,IFBench_264,llama-3-2-3b-instruct,base,1
265,IFBench_265,llama-3-2-3b-instruct,base,1
266,IFBench_266,llama-3-2-3b-instruct,base,0
267,IFBench_267,llama-3-2-3b-instruct,base,0
268,IFBench_268,llama-3-2-3b-instruct,base,0
269,IFBench_269,llama-3-2-3b-instruct,base,1
270,IFBench_270,llama-3-2-3b-instruct,base,0
271,IFBench_271,llama-3-2-3b-instruct,base,0
272,IFBench_272,llama-3-2-3b-instruct,base,0
273,IFBench_273,llama-3-2-3b-instruct,base,0
274,IFBench_274,llama-3-2-3b-instruct,base,1
275,IFBench_275,llama-3-2-3b-instruct,base,0
276,IFBench_276,llama-3-2-3b-instruct,base,0
277,IFBench_277,llama-3-2-3b-instruct,base,0
278,IFBench_278,llama-3-2-3b-instruct,base,0
279,IFBench_279,llama-3-2-3b-instruct,base,1
280,IFBench_280,llama-3-2-3b-instruct,base,1
281,IFBench_281,llama-3-2-3b-instruct,base,0
282,IFBench_282,llama-3-2-3b-instruct,base,1
283,IFBench_283,llama-3-2-3b-instruct,base,0
284,IFBench_284,llama-3-2-3b-instruct,base,0
285,IFBench_285,llama-3-2-3b-instruct,base,0
286,IFBench_286,llama-3-2-3b-instruct,base,0
287,IFBench_287,llama-3-2-3b-instruct,base,0
288,IFBench_288,llama-3-2-3b-instruct,base,0
289,IFBench_289,llama-3-2-3b-instruct,base,1
290,IFBench_290,llama-3-2-3b-instruct,base,0
291,IFBench_291,llama-3-2-3b-instruct,base,1
292,IFBench_292,llama-3-2-3b-instruct,base,1
293,IFBench_293,llama-3-2-3b-instruct,base,0
294,IFBench_294,llama-3-2-3b-instruct,base,1
295,IFBench_295,llama-3-2-3b-instruct,base,1
296,IFBench_296,llama-3-2-3b-instruct,base,0
297,IFBench_297,llama-3-2-3b-instruct,base,0
298,IFBench_298,llama-3-2-3b-instruct,base,0
299,IFBench_299,llama-3-2-3b-instruct,base,0
300,IFBench_0,llama-3-2-1b-instruct,no,0
301,IFBench_1,llama-3-2-1b-instruct,no,0
302,IFBench_2,llama-3-2-1b-instruct,no,0
303,IFBench_3,llama-3-2-1b-instruct,no,0
304,IFBench_4,llama-3-2-1b-instruct,no,0
305,IFBench_5,llama-3-2-1b-instruct,no,0
306,IFBench_6,llama-3-2-1b-instruct,no,1
307,IFBench_7,llama-3-2-1b-instruct,no,1
308,IFBench_8,llama-3-2-1b-instruct,no,0
309,IFBench_9,llama-3-2-1b-instruct,no,0
310,IFBench_10,llama-3-2-1b-instruct,no,0
311,IFBench_11,llama-3-2-1b-instruct,no,0
312,IFBench_12,llama-3-2-1b-instruct,no,0
313,IFBench_13,llama-3-2-1b-instruct,no,0
314,IFBench_14,llama-3-2-1b-instruct,no,0
315,IFBench_15,llama-3-2-1b-instruct,no,0
316,IFBench_16,llama-3-2-1b-instruct,no,0
317,IFBench_17,llama-3-2-1b-instruct,no,0
318,IFBench_18,llama-3-2-1b-instruct,no,1
319,IFBench_19,llama-3-2-1b-instruct,no,0
320,IFBench_20,llama-3-2-1b-instruct,no,0
321,IFBench_21,llama-3-2-1b-instruct,no,0
322,IFBench_22,llama-3-2-1b-instruct,no,0
323,IFBench_23,llama-3-2-1b-instruct,no,0
324,IFBench_24,llama-3-2-1b-instruct,no,0
325,IFBench_25,llama-3-2-1b-instruct,no,1
326,IFBench_26,llama-3-2-1b-instruct,no,0
327,IFBench_27,llama-3-2-1b-instruct,no,0
328,IFBench_28,llama-3-2-1b-instruct,no,0
329,IFBench_29,llama-3-2-1b-instruct,no,0
330,IFBench_30,llama-3-2-1b-instruct,no,1
331,IFBench_31,llama-3-2-1b-instruct,no,0
332,IFBench_32,llama-3-2-1b-instruct,no,1
333,IFBench_33,llama-3-2-1b-instruct,no,0
334,IFBench_34,llama-3-2-1b-instruct,no,1
335,IFBench_35,llama-3-2-1b-instruct,no,0
336,IFBench_36,llama-3-2-1b-instruct,no,0
337,IFBench_37,llama-3-2-1b-instruct,no,0
338,IFBench_38,llama-3-2-1b-instruct,no,0
339,IFBench_39,llama-3-2-1b-instruct,no,0
340,IFBench_40,llama-3-2-1b-instruct,no,0
341,IFBench_41,llama-3-2-1b-instruct,no,0
342,IFBench_42,llama-3-2-1b-instruct,no,0
343,IFBench_43,llama-3-2-1b-instruct,no,0
344,IFBench_44,llama-3-2-1b-instruct,no,0
345,IFBench_45,llama-3-2-1b-instruct,no,1
346,IFBench_46,llama-3-2-1b-instruct,no,0
347,IFBench_47,llama-3-2-1b-instruct,no,1
348,IFBench_48,llama-3-2-1b-instruct,no,0
349,IFBench_49,llama-3-2-1b-instruct,no,0
350,IFBench_50,llama-3-2-1b-instruct,no,0
351,IFBench_51,llama-3-2-1b-instruct,no,1
352,IFBench_52,llama-3-2-1b-instruct,no,1
353,IFBench_53,llama-3-2-1b-instruct,no,1
354,IFBench_54,llama-3-2-1b-instruct,no,1
355,IFBench_55,llama-3-2-1b-instruct,no,1
356,IFBench_56,llama-3-2-1b-instruct,no,1
357,IFBench_57,llama-3-2-1b-instruct,no,0
358,IFBench_58,llama-3-2-1b-instruct,no,1
359,IFBench_59,llama-3-2-1b-instruct,no,1
360,IFBench_60,llama-3-2-1b-instruct,no,0
361,IFBench_61,llama-3-2-1b-instruct,no,0
362,IFBench_62,llama-3-2-1b-instruct,no,0
363,IFBench_63,llama-3-2-1b-instruct,no,0
364,IFBench_64,llama-3-2-1b-instruct,no,0
365,IFBench_65,llama-3-2-1b-instruct,no,1
366,IFBench_66,llama-3-2-1b-instruct,no,1
367,IFBench_67,llama-3-2-1b-instruct,no,0
368,IFBench_68,llama-3-2-1b-instruct,no,1
369,IFBench_69,llama-3-2-1b-instruct,no,0
370,IFBench_70,llama-3-2-1b-instruct,no,0
371,IFBench_71,llama-3-2-1b-instruct,no,0
372,IFBench_72,llama-3-2-1b-instruct,no,0
373,IFBench_73,llama-3-2-1b-instruct,no,0
374,IFBench_74,llama-3-2-1b-instruct,no,0
375,IFBench_75,llama-3-2-1b-instruct,no,0
376,IFBench_76,llama-3-2-1b-instruct,no,0
377,IFBench_77,llama-3-2-1b-instruct,no,0
378,IFBench_78,llama-3-2-1b-instruct,no,1
379,IFBench_79,llama-3-2-1b-instruct,no,1
380,IFBench_80,llama-3-2-1b-instruct,no,0
381,IFBench_81,llama-3-2-1b-instruct,no,0
382,IFBench_82,llama-3-2-1b-instruct,no,0
383,IFBench_83,llama-3-2-1b-instruct,no,0
384,IFBench_84,llama-3-2-1b-instruct,no,0
385,IFBench_85,llama-3-2-1b-instruct,no,0
386,IFBench_86,llama-3-2-1b-instruct,no,1
387,IFBench_87,llama-3-2-1b-instruct,no,0
388,IFBench_88,llama-3-2-1b-instruct,no,0
389,IFBench_89,llama-3-2-1b-instruct,no,0
390,IFBench_90,llama-3-2-1b-instruct,no,0
391,IFBench_91,llama-3-2-1b-instruct,no,1
392,IFBench_92,llama-3-2-1b-instruct,no,0
393,IFBench_93,llama-3-2-1b-instruct,no,0
394,IFBench_94,llama-3-2-1b-instruct,no,0
395,IFBench_95,llama-3-2-1b-instruct,no,0
396,IFBench_96,llama-3-2-1b-instruct,no,0
397,IFBench_97,llama-3-2-1b-instruct,no,0
398,IFBench_98,llama-3-2-1b-instruct,no,1
399,IFBench_99,llama-3-2-1b-instruct,no,0
400,IFBench_100,llama-3-2-1b-instruct,no,1
401,IFBench_101,llama-3-2-1b-instruct,no,1
402,IFBench_102,llama-3-2-1b-instruct,no,0
403,IFBench_103,llama-3-2-1b-instruct,no,1
404,IFBench_104,llama-3-2-1b-instruct,no,0
405,IFBench_105,llama-3-2-1b-instruct,no,0
406,IFBench_106,llama-3-2-1b-instruct,no,0
407,IFBench_107,llama-3-2-1b-instruct,no,0
408,IFBench_108,llama-3-2-1b-instruct,no,0
409,IFBench_109,llama-3-2-1b-instruct,no,0
410,IFBench_110,llama-3-2-1b-instruct,no,0
411,IFBench_111,llama-3-2-1b-instruct,no,0
412,IFBench_112,llama-3-2-1b-instruct,no,0
413,IFBench_113,llama-3-2-1b-instruct,no,1
414,IFBench_114,llama-3-2-1b-instruct,no,1
415,IFBench_115,llama-3-2-1b-instruct,no,0
416,IFBench_116,llama-3-2-1b-instruct,no,1
417,IFBench_117,llama-3-2-1b-instruct,no,1
418,IFBench_118,llama-3-2-1b-instruct,no,0
419,IFBench_119,llama-3-2-1b-instruct,no,0
420,IFBench_120,llama-3-2-1b-instruct,no,0
421,IFBench_121,llama-3-2-1b-instruct,no,0
422,IFBench_122,llama-3-2-1b-instruct,no,0
423,IFBench_123,llama-3-2-1b-instruct,no,0
424,IFBench_124,llama-3-2-1b-instruct,no,0
425,IFBench_125,llama-3-2-1b-instruct,no,0
426,IFBench_126,llama-3-2-1b-instruct,no,1
427,IFBench_127,llama-3-2-1b-instruct,no,1
428,IFBench_128,llama-3-2-1b-instruct,no,1
429,IFBench_129,llama-3-2-1b-instruct,no,1
430,IFBench_130,llama-3-2-1b-instruct,no,1
431,IFBench_131,llama-3-2-1b-instruct,no,1
432,IFBench_132,llama-3-2-1b-instruct,no,1
433,IFBench_133,llama-3-2-1b-instruct,no,0
434,IFBench_134,llama-3-2-1b-instruct,no,1
435,IFBench_135,llama-3-2-1b-instruct,no,1
436,IFBench_136,llama-3-2-1b-instruct,no,0
437,IFBench_137,llama-3-2-1b-instruct,no,0
438,IFBench_138,llama-3-2-1b-instruct,no,0
439,IFBench_139,llama-3-2-1b-instruct,no,0
440,IFBench_140,llama-3-2-1b-instruct,no,0
441,IFBench_141,llama-3-2-1b-instruct,no,0
442,IFBench_142,llama-3-2-1b-instruct,no,0
443,IFBench_143,llama-3-2-1b-instruct,no,0
444,IFBench_144,llama-3-2-1b-instruct,no,0
445,IFBench_145,llama-3-2-1b-instruct,no,0
446,IFBench_146,llama-3-2-1b-instruct,no,0
447,IFBench_147,llama-3-2-1b-instruct,no,0
448,IFBench_148,llama-3-2-1b-instruct,no,0
449,IFBench_149,llama-3-2-1b-instruct,no,0
450,IFBench_150,llama-3-2-1b-instruct,no,0
451,IFBench_151,llama-3-2-1b-instruct,no,0
452,IFBench_152,llama-3-2-1b-instruct,no,0
453,IFBench_153,llama-3-2-1b-instruct,no,0
454,IFBench_154,llama-3-2-1b-instruct,no,0
455,IFBench_155,llama-3-2-1b-instruct,no,0
456,IFBench_156,llama-3-2-1b-instruct,no,0
457,IFBench_157,llama-3-2-1b-instruct,no,0
458,IFBench_158,llama-3-2-1b-instruct,no,0
459,IFBench_159,llama-3-2-1b-instruct,no,0
460,IFBench_160,llama-3-2-1b-instruct,no,0
461,IFBench_161,llama-3-2-1b-instruct,no,0
462,IFBench_162,llama-3-2-1b-instruct,no,0
463,IFBench_163,llama-3-2-1b-instruct,no,1
464,IFBench_164,llama-3-2-1b-instruct,no,0
465,IFBench_165,llama-3-2-1b-instruct,no,0
466,IFBench_166,llama-3-2-1b-instruct,no,0
467,IFBench_167,llama-3-2-1b-instruct,no,0
468,IFBench_168,llama-3-2-1b-instruct,no,0
469,IFBench_169,llama-3-2-1b-instruct,no,0
470,IFBench_170,llama-3-2-1b-instruct,no,0
471,IFBench_171,llama-3-2-1b-instruct,no,1
472,IFBench_172,llama-3-2-1b-instruct,no,0
473,IFBench_173,llama-3-2-1b-instruct,no,0
474,IFBench_174,llama-3-2-1b-instruct,no,1
475,IFBench_175,llama-3-2-1b-instruct,no,1
476,IFBench_176,llama-3-2-1b-instruct,no,1
477,IFBench_177,llama-3-2-1b-instruct,no,1
478,IFBench_178,llama-3-2-1b-instruct,no,1
479,IFBench_179,llama-3-2-1b-instruct,no,1
480,IFBench_180,llama-3-2-1b-instruct,no,0
481,IFBench_181,llama-3-2-1b-instruct,no,0
482,IFBench_182,llama-3-2-1b-instruct,no,0
483,IFBench_183,llama-3-2-1b-instruct,no,0
484,IFBench_184,llama-3-2-1b-instruct,no,0
485,IFBench_185,llama-3-2-1b-instruct,no,0
486,IFBench_186,llama-3-2-1b-instruct,no,0
487,IFBench_187,llama-3-2-1b-instruct,no,0
488,IFBench_188,llama-3-2-1b-instruct,no,0
489,IFBench_189,llama-3-2-1b-instruct,no,0
490,IFBench_190,llama-3-2-1b-instruct,no,0
491,IFBench_191,llama-3-2-1b-instruct,no,0
492,IFBench_192,llama-3-2-1b-instruct,no,0
493,IFBench_193,llama-3-2-1b-instruct,no,0
494,IFBench_194,llama-3-2-1b-instruct,no,0
495,IFBench_195,llama-3-2-1b-instruct,no,0
496,IFBench_196,llama-3-2-1b-instruct,no,0
497,IFBench_197,llama-3-2-1b-instruct,no,0
498,IFBench_198,llama-3-2-1b-instruct,no,0
499,IFBench_199,llama-3-2-1b-instruct,no,0
500,IFBench_200,llama-3-2-1b-instruct,no,0
501,IFBench_201,llama-3-2-1b-instruct,no,0
502,IFBench_202,llama-3-2-1b-instruct,no,0
503,IFBench_203,llama-3-2-1b-instruct,no,0
504,IFBench_204,llama-3-2-1b-instruct,no,0
505,IFBench_205,llama-3-2-1b-instruct,no,0
506,IFBench_206,llama-3-2-1b-instruct,no,0
507,IFBench_207,llama-3-2-1b-instruct,no,0
508,IFBench_208,llama-3-2-1b-instruct,no,0
509,IFBench_209,llama-3-2-1b-instruct,no,0
510,IFBench_210,llama-3-2-1b-instruct,no,0
511,IFBench_211,llama-3-2-1b-instruct,no,0
512,IFBench_212,llama-3-2-1b-instruct,no,0
513,IFBench_213,llama-3-2-1b-instruct,no,0
514,IFBench_214,llama-3-2-1b-instruct,no,0
515,IFBench_215,llama-3-2-1b-instruct,no,0
516,IFBench_216,llama-3-2-1b-instruct,no,0
