static_id,persona,score_llm,model,score_manual,agreement
alpaca_192,no,2,gpt-4-1-nano,2,True
alpaca_247,no,0,gpt-4-1-nano,1,False
alpaca_507,no,2,gpt-4-1-nano,0,False
alpaca_559,no,2,gpt-4-1-nano,2,True
alpaca_586,no,2,gpt-4-1-nano,1,False
alpaca_589,no,2,gpt-4-1-nano,2,True
alpaca_725,no,2,gpt-4-1-nano,1,False
alpaca_742,no,0,gpt-4-1-nano,1,False
alpaca_101,base,2,gpt-4-1-nano,1,False
alpaca_110,base,0,gpt-4-1-nano,0,True
alpaca_192,base,2,gpt-4-1-nano,1,False
alpaca_247,base,0,gpt-4-1-nano,1,False
alpaca_507,base,2,gpt-4-1-nano,0,False
alpaca_559,base,0,gpt-4-1-nano,2,False
alpaca_586,base,2,gpt-4-1-nano,1,False
alpaca_589,base,2,gpt-4-1-nano,0,False
alpaca_725,base,0,gpt-4-1-nano,1,False
alpaca_742,base,0,gpt-4-1-nano,0,True
alpaca_101,static_short,0,gpt-4-1-nano,0,True
alpaca_110,static_short,0,gpt-4-1-nano,0,True
alpaca_192,static_short,0,gpt-4-1-nano,0,True
alpaca_247,static_short,2,gpt-4-1-nano,1,False
alpaca_507,static_short,0,gpt-4-1-nano,0,True
alpaca_559,static_short,0,gpt-4-1-nano,2,False
alpaca_586,static_short,2,gpt-4-1-nano,1,False
alpaca_589,static_short,0,gpt-4-1-nano,0,True
alpaca_725,static_short,0,gpt-4-1-nano,1,False
alpaca_742,static_short,0,gpt-4-1-nano,0,True
alpaca_101,static_medium,0,gpt-4-1-nano,1,False
alpaca_110,static_medium,0,gpt-4-1-nano,0,True
alpaca_192,static_medium,0,gpt-4-1-nano,0,True
alpaca_247,static_medium,0,gpt-4-1-nano,1,False
alpaca_507,static_medium,0,gpt-4-1-nano,0,True
alpaca_559,static_medium,0,gpt-4-1-nano,0,True
alpaca_586,static_medium,0,gpt-4-1-nano,1,False
alpaca_589,static_medium,0,gpt-4-1-nano,0,True
alpaca_725,static_medium,0,gpt-4-1-nano,1,False
alpaca_742,static_medium,0,gpt-4-1-nano,0,True
alpaca_101,static_long,0,gpt-4-1-nano,0,True
alpaca_110,static_long,0,gpt-4-1-nano,0,True
alpaca_192,static_long,0,gpt-4-1-nano,0,True
alpaca_247,static_long,0,gpt-4-1-nano,1,False
alpaca_507,static_long,0,gpt-4-1-nano,0,True
alpaca_559,static_long,0,gpt-4-1-nano,2,False
alpaca_586,static_long,0,gpt-4-1-nano,1,False
alpaca_589,static_long,0,gpt-4-1-nano,0,True
alpaca_725,static_long,0,gpt-4-1-nano,1,False
alpaca_742,static_long,0,gpt-4-1-nano,0,True
alpaca_101,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_110,dynamic_short,0,gpt-4-1-nano,2,False
alpaca_192,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_247,dynamic_short,2,gpt-4-1-nano,1,False
alpaca_507,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_559,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_586,dynamic_short,2,gpt-4-1-nano,1,False
alpaca_589,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_725,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_742,dynamic_short,2,gpt-4-1-nano,2,True
alpaca_101,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_110,dynamic_medium,0,gpt-4-1-nano,2,False
alpaca_192,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_247,dynamic_medium,2,gpt-4-1-nano,1,False
alpaca_507,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_559,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_586,dynamic_medium,0,gpt-4-1-nano,2,False
alpaca_589,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_725,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_742,dynamic_medium,2,gpt-4-1-nano,2,True
alpaca_101,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_110,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_192,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_247,dynamic_long,2,gpt-4-1-nano,1,False
alpaca_507,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_559,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_586,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_589,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_725,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_742,dynamic_long,2,gpt-4-1-nano,2,True
alpaca_101,beginner_teacher,0,gpt-4-1-nano,0,True
alpaca_110,beginner_teacher,0,gpt-4-1-nano,0,True
alpaca_192,beginner_teacher,0,gpt-4-1-nano,0,True
alpaca_247,beginner_teacher,0,gpt-4-1-nano,2,False
alpaca_507,beginner_teacher,0,gpt-4-1-nano,0,True
alpaca_559,beginner_teacher,0,gpt-4-1-nano,0,True
alpaca_586,beginner_teacher,0,gpt-4-1-nano,2,False
alpaca_589,beginner_teacher,2,gpt-4-1-nano,2,True
alpaca_725,beginner_teacher,0,gpt-4-1-nano,2,False
alpaca_742,beginner_teacher,0,gpt-4-1-nano,2,False
alpaca_101,intermediate_teacher,0,gpt-4-1-nano,2,False
alpaca_110,intermediate_teacher,0,gpt-4-1-nano,2,False
alpaca_192,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_247,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_507,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_559,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_586,intermediate_teacher,0,gpt-4-1-nano,2,False
alpaca_589,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_725,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_742,intermediate_teacher,2,gpt-4-1-nano,2,True
alpaca_101,expert_teacher,0,gpt-4-1-nano,2,False
alpaca_110,expert_teacher,0,gpt-4-1-nano,2,False
alpaca_192,expert_teacher,0,gpt-4-1-nano,2,False
alpaca_247,expert_teacher,2,gpt-4-1-nano,2,True
alpaca_507,expert_teacher,0,gpt-4-1-nano,0,True
alpaca_559,expert_teacher,2,gpt-4-1-nano,2,True
alpaca_586,expert_teacher,0,gpt-4-1-nano,2,False
alpaca_589,expert_teacher,0,gpt-4-1-nano,2,False
alpaca_725,expert_teacher,0,gpt-4-1-nano,0,True
alpaca_742,expert_teacher,0,gpt-4-1-nano,0,True
alpaca_101,no,2,gemma-3-4b-it,1,False
alpaca_110,no,2,gemma-3-4b-it,1,False
alpaca_192,no,2,gemma-3-4b-it,1,False
alpaca_247,no,2,gemma-3-4b-it,2,True
alpaca_507,no,0,gemma-3-4b-it,2,False
alpaca_559,no,0,gemma-3-4b-it,1,False
alpaca_586,no,2,gemma-3-4b-it,1,False
alpaca_589,no,0,gemma-3-4b-it,1,False
alpaca_725,no,0,gemma-3-4b-it,0,True
alpaca_742,no,0,gemma-3-4b-it,1,False
alpaca_101,base,0,gemma-3-4b-it,0,True
alpaca_110,base,2,gemma-3-4b-it,1,False
alpaca_192,base,2,gemma-3-4b-it,1,False
alpaca_247,base,0,gemma-3-4b-it,1,False
alpaca_507,base,0,gemma-3-4b-it,2,False
alpaca_559,base,0,gemma-3-4b-it,0,True
alpaca_586,base,2,gemma-3-4b-it,1,False
alpaca_589,base,2,gemma-3-4b-it,2,True
alpaca_725,base,0,gemma-3-4b-it,1,False
alpaca_742,base,2,gemma-3-4b-it,2,True
alpaca_101,static_short,0,gemma-3-4b-it,0,True
alpaca_110,static_short,0,gemma-3-4b-it,2,False
alpaca_192,static_short,0,gemma-3-4b-it,0,True
alpaca_247,static_short,0,gemma-3-4b-it,0,True
alpaca_507,static_short,0,gemma-3-4b-it,0,True
alpaca_559,static_short,0,gemma-3-4b-it,2,False
alpaca_586,static_short,0,gemma-3-4b-it,1,False
alpaca_589,static_short,2,gemma-3-4b-it,2,True
alpaca_725,static_short,0,gemma-3-4b-it,2,False
alpaca_742,static_short,0,gemma-3-4b-it,2,False
alpaca_101,static_medium,0,gemma-3-4b-it,0,True
alpaca_110,static_medium,0,gemma-3-4b-it,2,False
alpaca_192,static_medium,0,gemma-3-4b-it,0,True
alpaca_247,static_medium,0,gemma-3-4b-it,0,True
alpaca_507,static_medium,0,gemma-3-4b-it,0,True
alpaca_559,static_medium,0,gemma-3-4b-it,2,False
alpaca_586,static_medium,2,gemma-3-4b-it,2,True
alpaca_589,static_medium,0,gemma-3-4b-it,2,False
alpaca_725,static_medium,0,gemma-3-4b-it,0,True
alpaca_742,static_medium,0,gemma-3-4b-it,2,False
alpaca_101,static_long,0,gemma-3-4b-it,0,True
alpaca_110,static_long,0,gemma-3-4b-it,0,True
alpaca_192,static_long,0,gemma-3-4b-it,0,True
alpaca_247,static_long,0,gemma-3-4b-it,0,True
alpaca_507,static_long,0,gemma-3-4b-it,2,False
alpaca_559,static_long,0,gemma-3-4b-it,2,False
alpaca_586,static_long,0,gemma-3-4b-it,2,False
alpaca_589,static_long,0,gemma-3-4b-it,2,False
alpaca_725,static_long,0,gemma-3-4b-it,0,True
alpaca_742,static_long,0,gemma-3-4b-it,2,False
alpaca_101,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_110,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_192,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_247,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_507,dynamic_short,0,gemma-3-4b-it,2,False
alpaca_559,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_586,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_589,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_725,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_742,dynamic_short,2,gemma-3-4b-it,2,True
alpaca_101,dynamic_medium,2,gemma-3-4b-it,2,True
alpaca_110,dynamic_medium,0,gemma-3-4b-it,2,False
alpaca_192,dynamic_medium,2,gemma-3-4b-it,2,True
alpaca_247,dynamic_medium,2,gemma-3-4b-it,2,True
alpaca_507,dynamic_medium,0,gemma-3-4b-it,2,False
alpaca_559,dynamic_medium,2,gemma-3-4b-it,0,False
alpaca_586,dynamic_medium,0,gemma-3-4b-it,1,False
alpaca_589,dynamic_medium,0,gemma-3-4b-it,2,False
alpaca_725,dynamic_medium,2,gemma-3-4b-it,2,True
alpaca_742,dynamic_medium,2,gemma-3-4b-it,2,True
alpaca_101,dynamic_long,2,gemma-3-4b-it,2,True
alpaca_110,dynamic_long,0,gemma-3-4b-it,2,False
alpaca_192,dynamic_long,2,gemma-3-4b-it,2,True
alpaca_247,dynamic_long,2,gemma-3-4b-it,2,True
alpaca_507,dynamic_long,0,gemma-3-4b-it,2,False
alpaca_559,dynamic_long,2,gemma-3-4b-it,2,True
alpaca_586,dynamic_long,0,gemma-3-4b-it,1,False
alpaca_589,dynamic_long,0,gemma-3-4b-it,2,False
alpaca_725,dynamic_long,2,gemma-3-4b-it,2,True
alpaca_742,dynamic_long,0,gemma-3-4b-it,2,False
alpaca_101,beginner_teacher,0,gemma-3-4b-it,0,True
alpaca_110,beginner_teacher,0,gemma-3-4b-it,1,False
alpaca_192,beginner_teacher,0,gemma-3-4b-it,0,True
alpaca_247,beginner_teacher,0,gemma-3-4b-it,2,False
alpaca_507,beginner_teacher,0,gemma-3-4b-it,0,True
alpaca_559,beginner_teacher,0,gemma-3-4b-it,0,True
alpaca_586,beginner_teacher,0,gemma-3-4b-it,2,False
alpaca_589,beginner_teacher,0,gemma-3-4b-it,2,False
alpaca_725,beginner_teacher,0,gemma-3-4b-it,0,True
alpaca_742,beginner_teacher,0,gemma-3-4b-it,0,True
alpaca_101,intermediate_teacher,0,gemma-3-4b-it,0,True
alpaca_110,intermediate_teacher,2,gemma-3-4b-it,2,True
alpaca_192,intermediate_teacher,0,gemma-3-4b-it,2,False
alpaca_247,intermediate_teacher,2,gemma-3-4b-it,2,True
alpaca_507,intermediate_teacher,0,gemma-3-4b-it,0,True
alpaca_559,intermediate_teacher,2,gemma-3-4b-it,2,True
alpaca_586,intermediate_teacher,0,gemma-3-4b-it,2,False
alpaca_589,intermediate_teacher,2,gemma-3-4b-it,2,True
alpaca_725,intermediate_teacher,0,gemma-3-4b-it,2,False
alpaca_742,intermediate_teacher,2,gemma-3-4b-it,2,True
alpaca_101,expert_teacher,0,gemma-3-4b-it,0,True
alpaca_110,expert_teacher,2,gemma-3-4b-it,2,True
alpaca_192,expert_teacher,0,gemma-3-4b-it,2,False
alpaca_247,expert_teacher,0,gemma-3-4b-it,2,False
alpaca_507,expert_teacher,0,gemma-3-4b-it,2,False
alpaca_559,expert_teacher,2,gemma-3-4b-it,2,True
alpaca_586,expert_teacher,0,gemma-3-4b-it,2,False
alpaca_589,expert_teacher,0,gemma-3-4b-it,2,False
alpaca_725,expert_teacher,0,gemma-3-4b-it,2,False
alpaca_742,expert_teacher,2,gemma-3-4b-it,2,True
alpaca_101,no,2,llama-3-2-1b-instruct,0,False
alpaca_110,no,2,llama-3-2-1b-instruct,1,False
alpaca_192,no,0,llama-3-2-1b-instruct,2,False
alpaca_247,no,0,llama-3-2-1b-instruct,2,False
alpaca_507,no,2,llama-3-2-1b-instruct,0,False
alpaca_559,no,0,llama-3-2-1b-instruct,0,True
alpaca_586,no,0,llama-3-2-1b-instruct,0,True
alpaca_589,no,2,llama-3-2-1b-instruct,2,True
alpaca_725,no,0,llama-3-2-1b-instruct,1,False
alpaca_742,no,0,llama-3-2-1b-instruct,1,False
alpaca_101,base,2,llama-3-2-1b-instruct,0,False
alpaca_110,base,0,llama-3-2-1b-instruct,1,False
alpaca_192,base,0,llama-3-2-1b-instruct,0,True
alpaca_247,base,0,llama-3-2-1b-instruct,2,False
alpaca_507,base,2,llama-3-2-1b-instruct,2,True
alpaca_559,base,2,llama-3-2-1b-instruct,1,False
alpaca_586,base,2,llama-3-2-1b-instruct,0,False
alpaca_589,base,2,llama-3-2-1b-instruct,2,True
alpaca_725,base,2,llama-3-2-1b-instruct,1,False
alpaca_742,base,2,llama-3-2-1b-instruct,2,True
alpaca_101,static_short,2,llama-3-2-1b-instruct,0,False
alpaca_110,static_short,2,llama-3-2-1b-instruct,1,False
alpaca_192,static_short,0,llama-3-2-1b-instruct,0,True
alpaca_247,static_short,0,llama-3-2-1b-instruct,2,False
alpaca_507,static_short,2,llama-3-2-1b-instruct,0,False
alpaca_559,static_short,2,llama-3-2-1b-instruct,1,False
alpaca_586,static_short,0,llama-3-2-1b-instruct,0,True
alpaca_589,static_short,2,llama-3-2-1b-instruct,1,False
alpaca_725,static_short,0,llama-3-2-1b-instruct,0,True
alpaca_742,static_short,2,llama-3-2-1b-instruct,2,True
alpaca_101,static_medium,0,llama-3-2-1b-instruct,0,True
alpaca_110,static_medium,0,llama-3-2-1b-instruct,1,False
alpaca_192,static_medium,0,llama-3-2-1b-instruct,0,True
alpaca_247,static_medium,0,llama-3-2-1b-instruct,2,False
alpaca_507,static_medium,2,llama-3-2-1b-instruct,2,True
alpaca_559,static_medium,2,llama-3-2-1b-instruct,1,False
alpaca_586,static_medium,0,llama-3-2-1b-instruct,0,True
alpaca_589,static_medium,2,llama-3-2-1b-instruct,2,True
alpaca_725,static_medium,0,llama-3-2-1b-instruct,2,False
