model,persona,file,status,prompt_level,instruction_level
llama-3_2-3b-instruct,beginner_teacher,llama-3_2-3b-instruct=beginner_teacher_answer.jsonl,ok,0.2627986348122867,0.2934131736526946
gpt-4_1-nano,static_medium,gpt-4_1-nano=static_medium_answer.jsonl,ok,0.2901023890784983,0.3263473053892216
llama-3_2-3b-instruct,base,llama-3_2-3b-instruct=base_answer.jsonl,ok,0.2764505119453925,0.3023952095808383
gpt-5_0-nano,beginner_teacher,gpt-5_0-nano=beginner_teacher_answer.jsonl,ok,0.658703071672355,0.6826347305389222
gpt-5_0-nano,static_medium,gpt-5_0-nano=static_medium_answer.jsonl,ok,0.6416382252559727,0.6586826347305389
llama-3_2-1b-instruct,beginner_teacher,llama-3_2-1b-instruct=beginner_teacher_answer.jsonl,ok,0.24914675767918087,0.2754491017964072
qwen3-4b,beginner_teacher,qwen3-4b=beginner_teacher_answer.jsonl,ok,0.21160409556313994,0.23053892215568864
qwen3-4b,dynamic_short,qwen3-4b=dynamic_short_answer.jsonl,ok,0.20819112627986347,0.23952095808383234
gemma-3-4b-it,static_short,gemma-3-4b-it=static_short_answer.jsonl,ok,0.2627986348122867,0.27844311377245506
qwen3-0_6b,beginner_teacher,qwen3-0_6b=beginner_teacher_answer.jsonl,ok,0.15699658703071673,0.18562874251497005
llama-3_2-3b-instruct,no,llama-3_2-3b-instruct=no_answer.jsonl,ok,0.24914675767918087,0.27245508982035926
gpt-5_0-nano,dynamic_short,gpt-5_0-nano=dynamic_short_answer.jsonl,ok,0.658703071672355,0.6736526946107785
gemma-3-4b-it,base,gemma-3-4b-it=base_answer.jsonl,ok,0.26621160409556316,0.27844311377245506
gpt-5_0-nano,no,gpt-5_0-nano=no_answer.jsonl,ok,0.6518771331058021,0.6856287425149701
gemma-3-4b-it,static_long,gemma-3-4b-it=static_long_answer.jsonl,ok,0.20136518771331058,0.2215568862275449
llama-3_2-1b-instruct,dynamic_long,llama-3_2-1b-instruct=dynamic_long_answer.jsonl,ok,0.21843003412969283,0.24850299401197604
qwen3-0_6b,dynamic_short,qwen3-0_6b=dynamic_short_answer.jsonl,ok,0.17406143344709898,0.19760479041916168
gemma-3-1b-it,beginner_teacher,gemma-3-1b-it=beginner_teacher_answer.jsonl,ok,0.18088737201365188,0.19461077844311378
gpt-4_1-nano,dynamic_short,gpt-4_1-nano=dynamic_short_answer.jsonl,ok,0.32081911262798635,0.36227544910179643
llama-3_2-3b-instruct,expert_teacher,llama-3_2-3b-instruct=expert_teacher_answer.jsonl,ok,0.28668941979522183,0.3143712574850299
gemma-3-4b-it,dynamic_long,gemma-3-4b-it=dynamic_long_answer.jsonl,ok,0.20136518771331058,0.2245508982035928
qwen3-4b,dynamic_medium,qwen3-4b=dynamic_medium_answer.jsonl,ok,0.20136518771331058,0.218562874251497
gpt-4_1-nano,helpful,gpt-4_1-nano=helpful_answer.jsonl,ok,0.310580204778157,0.33532934131736525
gpt-5_0-nano,helpful,gpt-5_0-nano=helpful_answer.jsonl,ok,0.6928327645051194,0.7155688622754491
gpt-4_1-nano,dynamic_medium,gpt-4_1-nano=dynamic_medium_answer.jsonl,ok,0.3003412969283277,0.3323353293413174
llama-3_2-1b-instruct,dynamic_short,llama-3_2-1b-instruct=dynamic_short_answer.jsonl,ok,0.22866894197952217,0.24850299401197604
gpt-4_1-nano,dynamic_long,gpt-4_1-nano=dynamic_long_answer.jsonl,ok,0.3037542662116041,0.32335329341317365
llama-3_2-3b-instruct,intermediate_teacher,llama-3_2-3b-instruct=intermediate_teacher_answer.jsonl,ok,0.27303754266211605,0.3023952095808383
llama-3_2-1b-instruct,helpful,llama-3_2-1b-instruct=helpful_answer.jsonl,ok,0.20477815699658702,0.23053892215568864
llama-3_2-3b-instruct,static_short,llama-3_2-3b-instruct=static_short_answer.jsonl,ok,0.27303754266211605,0.2994011976047904
gpt-5_0-nano,static_short,gpt-5_0-nano=static_short_answer.jsonl,ok,0.6484641638225256,0.6796407185628742
qwen3-4b,static_short,qwen3-4b=static_short_answer.jsonl,ok,0.21160409556313994,0.23652694610778444
gpt-4_1-nano,beginner_teacher,gpt-4_1-nano=beginner_teacher_answer.jsonl,ok,0.2935153583617747,0.32934131736526945
llama-3_2-3b-instruct,helpful,llama-3_2-3b-instruct=helpful_answer.jsonl,ok,0.2627986348122867,0.2964071856287425
llama-3_2-1b-instruct,no,llama-3_2-1b-instruct=no_answer.jsonl,ok,0.19112627986348124,0.2245508982035928
gemma-3-1b-it,intermediate_teacher,gemma-3-1b-it=intermediate_teacher_answer.jsonl,ok,0.17747440273037543,0.19760479041916168
qwen3-4b,static_medium,qwen3-4b=static_medium_answer.jsonl,ok,0.21160409556313994,0.2275449101796407
qwen3-0_6b,base,qwen3-0_6b=base_answer.jsonl,ok,0.14334470989761092,0.17065868263473055
llama-3_2-1b-instruct,static_short,llama-3_2-1b-instruct=static_short_answer.jsonl,ok,0.21843003412969283,0.24850299401197604
gemma-3-4b-it,helpful,gemma-3-4b-it=helpful_answer.jsonl,ok,0.2627986348122867,0.2844311377245509
gemma-3-4b-it,dynamic_medium,gemma-3-4b-it=dynamic_medium_answer.jsonl,ok,0.22184300341296928,0.24251497005988024
llama-3_2-3b-instruct,static_medium,llama-3_2-3b-instruct=static_medium_answer.jsonl,ok,0.22525597269624573,0.25449101796407186
llama-3_2-3b-instruct,dynamic_short,llama-3_2-3b-instruct=dynamic_short_answer.jsonl,ok,0.2901023890784983,0.31137724550898205
gpt-5_0-nano,expert_teacher,gpt-5_0-nano=expert_teacher_answer.jsonl,ok,0.6279863481228669,0.6616766467065869
qwen3-4b,base,qwen3-4b=base_answer.jsonl,ok,0.22525597269624573,0.24251497005988024
gemma-3-4b-it,beginner_teacher,gemma-3-4b-it=beginner_teacher_answer.jsonl,ok,0.18088737201365188,0.20658682634730538
gemma-3-1b-it,static_short,gemma-3-1b-it=static_short_answer.jsonl,ok,0.19112627986348124,0.20359281437125748
gemma-3-1b-it,static_long,gemma-3-1b-it=static_long_answer.jsonl,ok,0.16040955631399317,0.17664670658682635
gpt-4_1-nano,expert_teacher,gpt-4_1-nano=expert_teacher_answer.jsonl,ok,0.2901023890784983,0.3143712574850299
gemma-3-1b-it,helpful,gemma-3-1b-it=helpful_answer.jsonl,ok,0.2150170648464164,0.2215568862275449
qwen3-0_6b,no,qwen3-0_6b=no_answer.jsonl,ok,0.15017064846416384,0.17664670658682635
qwen3-0_6b,helpful,qwen3-0_6b=helpful_answer.jsonl,ok,0.13310580204778158,0.16467065868263472
llama-3_2-1b-instruct,intermediate_teacher,llama-3_2-1b-instruct=intermediate_teacher_answer.jsonl,ok,0.22866894197952217,0.25149700598802394
qwen3-4b,intermediate_teacher,qwen3-4b=intermediate_teacher_answer.jsonl,ok,0.20819112627986347,0.24550898203592814
llama-3_2-3b-instruct,static_long,llama-3_2-3b-instruct=static_long_answer.jsonl,ok,0.24232081911262798,0.27844311377245506
qwen3-0_6b,dynamic_long,qwen3-0_6b=dynamic_long_answer.jsonl,ok,0.16040955631399317,0.17964071856287425
qwen3-0_6b,static_long,qwen3-0_6b=static_long_answer.jsonl,ok,0.14675767918088736,0.17065868263473055
gpt-4_1-nano,no,gpt-4_1-nano=no_answer.jsonl,ok,0.31399317406143346,0.344311377245509
gpt-5_0-nano,dynamic_medium,gpt-5_0-nano=dynamic_medium_answer.jsonl,ok,0.5972696245733788,0.6197604790419161
qwen3-0_6b,static_short,qwen3-0_6b=static_short_answer.jsonl,ok,0.15699658703071673,0.17964071856287425
gemma-3-4b-it,intermediate_teacher,gemma-3-4b-it=intermediate_teacher_answer.jsonl,ok,0.18771331058020477,0.218562874251497
gpt-4_1-nano,static_long,gpt-4_1-nano=static_long_answer.jsonl,ok,0.32764505119453924,0.3652694610778443
gemma-3-1b-it,dynamic_long,gemma-3-1b-it=dynamic_long_answer.jsonl,ok,0.18430034129692832,0.20059880239520958
llama-3_2-3b-instruct,dynamic_long,llama-3_2-3b-instruct=dynamic_long_answer.jsonl,ok,0.2935153583617747,0.31736526946107785
llama-3_2-1b-instruct,expert_teacher,llama-3_2-1b-instruct=expert_teacher_answer.jsonl,ok,0.22525597269624573,0.25149700598802394
qwen3-0_6b,dynamic_medium,qwen3-0_6b=dynamic_medium_answer.jsonl,ok,0.18771331058020477,0.20658682634730538
qwen3-4b,dynamic_long,qwen3-4b=dynamic_long_answer.jsonl,ok,0.20136518771331058,0.2155688622754491
gemma-3-1b-it,static_medium,gemma-3-1b-it=static_medium_answer.jsonl,ok,0.1945392491467577,0.20958083832335328
gpt-5_0-nano,base,gpt-5_0-nano=base_answer.jsonl,ok,0.6450511945392492,0.6676646706586826
llama-3_2-1b-instruct,dynamic_medium,llama-3_2-1b-instruct=dynamic_medium_answer.jsonl,ok,0.20136518771331058,0.2275449101796407
llama-3_2-3b-instruct,dynamic_medium,llama-3_2-3b-instruct=dynamic_medium_answer.jsonl,ok,0.2832764505119454,0.3083832335329341
qwen3-0_6b,intermediate_teacher,qwen3-0_6b=intermediate_teacher_answer.jsonl,ok,0.17064846416382254,0.20059880239520958
qwen3-0_6b,expert_teacher,qwen3-0_6b=expert_teacher_answer.jsonl,ok,0.15699658703071673,0.19161676646706588
llama-3_2-1b-instruct,static_medium,llama-3_2-1b-instruct=static_medium_answer.jsonl,ok,0.21843003412969283,0.24251497005988024
gpt-5_0-nano,static_long,gpt-5_0-nano=static_long_answer.jsonl,ok,0.6109215017064846,0.6347305389221557
gemma-3-4b-it,no,gemma-3-4b-it=no_answer.jsonl,ok,0.2593856655290102,0.2754491017964072
gemma-3-4b-it,expert_teacher,gemma-3-4b-it=expert_teacher_answer.jsonl,ok,0.21843003412969283,0.24251497005988024
llama-3_2-1b-instruct,static_long,llama-3_2-1b-instruct=static_long_answer.jsonl,ok,0.2150170648464164,0.23652694610778444
gpt-4_1-nano,static_short,gpt-4_1-nano=static_short_answer.jsonl,ok,0.30716723549488056,0.33532934131736525
